source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,b,l
5613127226269514496,110.43745695683596,0.023708468481688113,-26.582260102508,0.033778907931213444,0.2526592428230173,0.038143369572098025,15.9133835,0.46486092,,,NOT_AVAILABLE,7505.0,0.4047,-5.686408355542797,239.94962324593646
5353350458710105984,164.0550518810417,0.026075983239617954,-53.89490115239586,0.02517997031825361,1.051785827277831,0.03071297693258738,12.172984,0.46517086,30.84125401956888,9.81728904131164,NOT_AVAILABLE,7505.0,0.777,5.22953310452303,286.3665673339092
5610303817844724864,108.01206340228183,0.042841039982936244,-26.5826354212465,0.06493541296729,0.1605564022072657,0.07553086434825354,16.990551,0.4340229,,,NOT_AVAILABLE,7505.0,0.1085,-7.618021384934082,238.95631299031453
3376134157708131712,96.87852579917545,0.03298648665797079,21.57636281726876,0.03182530622583235,0.49383296529777015,0.03401157279757915,13.908657,0.531826,,,NOT_AVAILABLE,7505.0,1.001,4.671752028458714,191.04928447916564
2925478632502723200,100.55133262684836,0.03854487088419933,-23.157154512217087,0.06262729869850607,-0.05105677797599911,0.07403546028060672,17.021885,0.39922142,,,NOT_AVAILABLE,7505.0,,-12.255590741819725,232.86214904250494
2038183709656252416,288.66180424632137,0.017618994135710775,28.2982745301176,0.02537989615450261,0.8267789830208296,0.029077676198952046,11.604338,0.40306473,,,NOT_AVAILABLE,7505.0,,7.870952543104298,60.764993273935154
5606287061348301056,108.44963509679461,0.02039299630527854,-29.772348931337607,0.02730327206854952,0.7014395641072441,0.02764397654212077,12.435845,0.4012642,,,NOT_AVAILABLE,7505.0,0.7968,-8.694677861633357,242.01447684110727
4035669026514338304,269.90675511592815,0.04583789876318408,-39.7964995236792,0.042914225460500145,0.12997200379810614,0.04474625777236779,14.5819025,0.43592453,,,NOT_AVAILABLE,7505.0,,-7.966087610238117,352.05076547830606
3043743924252588928,116.8610413837066,0.01943765693365876,-6.852291481423312,0.015551426007731926,0.28507642123224447,0.025486120529740017,14.150395,0.53214264,,,NOT_AVAILABLE,7505.0,1.296,9.171464642747907,225.55372517147677
4685854571724688768,11.729301133995016,0.022154570361922712,-73.14282157210276,0.01775885583968803,-0.004096323952273894,0.021479476096838798,12.859746,0.4299116,,,NOT_AVAILABLE,7505.0,,-43.98143049918059,303.3873610451373
3365432439235817984,102.96482397875893,0.030935604135965637,19.188876616380067,0.026711898175293874,0.3603486033623578,0.03421838788207104,14.230794,0.46726608,,,NOT_AVAILABLE,7505.0,0.8505,8.709207385448693,195.76625908652568
2920889786365150080,103.08836436790003,0.039916040605640246,-26.236403587356037,0.05434520995327229,0.05515298795049247,0.06466966288883083,16.842598,0.46499634,,,NOT_AVAILABLE,7505.0,,-11.442849048394155,236.70330451166916
